GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
CR1,19734903,Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.,Alzheimer's disease,"2,032 European ancestry cases, 5,328 European ancestry controls","3,978 European ancestry cases, 3,297 European ancestry controls",1q32.2,1;1,207518704;207611623,rs6656401-A; rs3818361-A,rs6656401; rs3818361,NA,3.00E-10
CR1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",1q32.2,1,207577223,rs679515-T,rs679515,679515,4.00E-09
CR1,21460840,"Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.",Alzheimer's disease,"6,688 European ancestry cases, 13,685 European ancestry controls","13,182 European ancestry cases, 26,161 European ancestry controls",1q32.2,1,207611623,rs3818361-?,rs3818361,3818361,4.00E-14
CR1,21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.",Alzheimer's disease (late onset),"8,309 European ancestry cases, 7,366 European ancestry controls","10,523 European ancestry cases, 28,231 European ancestry controls",1q32.2,1,207612944,rs6701713-A,rs6701713,6701713,5.00E-10
CR1,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",1q32.2,1,207518704,rs6656401-?,rs6656401,6656401,7.00E-11
CR1,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",1q32.2,1,207518704,rs6656401-A,rs6656401,6656401,6.00E-24
MS4A6A,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",11q12.2,11,60254475,rs1582763-G,rs1582763,1582763,2.00E-09
MS4A6A,21460840,"Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.",Alzheimer's disease,"6,688 European ancestry cases, 13,685 European ancestry controls","13,182 European ancestry cases, 26,161 European ancestry controls",11q12.2,11,60171834,rs610932-?,rs610932,610932,2.00E-14
MS4A6A,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",11q12.2,11,60173126,rs7232-?,rs7232,7232,6.00E-07
MS4A6A,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",11q12.2,11,60156035,rs983392-A,rs983392,983392,6.00E-16
TREM2,23150908,Variant of TREM2 associated with the risk of Alzheimer's disease.,Alzheimer's disease,"3,550 European ancestry cases, 8,888 European ancestry controls","694 European ancestry cases, 4,375 European ancestry controls, 1,343 cases, 5,352 controls",6p21.1,6,41161514,rs75932628-T,rs75932628,75932628,2.00E-12
TREM2,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",6p21.1,6,41161469,rs143332484-T,rs143332484,143332484,2.00E-14
TREM2,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",6p21.1,6,41161514,rs75932628-T,rs75932628,75932628,5.00E-24
ABI3,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",17q21.32,17,49219935,rs616338-T,rs616338,616338,5.00E-10
PLCG2,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",16q23.3,16,81908423,rs72824905-?,rs72824905,72824905,5.00E-10
RHBDF1,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",16p13.3,16,63029,rs78541046-?,rs78541046,78541046,2.00E-06
AHNAK,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",11q12.3,11,62521506,rs11828907-C,rs11828907,11828907,2.00E-07
ATP5C1,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",10p14,10,7799848,rs139967528-G,rs139967528,139967528,6.00E-10
BSG,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",19p13.3,19,572671,rs201850688-G,rs201850688,201850688,9.00E-06
THSD4,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",15q23,15,71746912,rs201879533-?,rs201879533,201879533,4.00E-06
ATM,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",11q22.3,11,108326169,rs56009889-?,rs56009889,56009889,6.00E-07
TECTA,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",11q23.3,11,121146015,rs148619105-?,rs148619105,148619105,1.00E-07
UGT1A8,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,2q37.1,2,233651485,rs188392327-A,rs188392327,188392327,2.00E-06
UGT1A10,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,2q37.1,2,233651485,rs188392327-A,rs188392327,188392327,2.00E-06
TOMM40,19125160,Examination of the current top candidate genes for AD in a genome-wide association study.,Alzheimer's disease,"491 European ancestry cases, 479 European ancestry controls",NA,19q13.32,19,44892009,rs157580-?,rs157580,157580,1.00E-40
TOMM40,20061627,Genome-wide scan of copy number variation in late-onset Alzheimer's disease.,Alzheimer's disease,"331 European ancestry cases, 368 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,3.00E-11
TOMM40,20885792,Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.,Alzheimer's disease (late onset),"931 cases, 1,104 controls","1,338 cases, 2,003 controls",19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,5.00E-36
TOMM40,18823527,A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.,Alzheimer's disease,"1,082 European ancestry cases, 1,239 European ancestry controls","1,400 controls",19q13.32,19,44878777,rs6859-A,rs6859,6859,6.00E-14
TOMM40,26339675,F-box/LRR-repeat protein 7 is genetically associated with Alzheimer's disease.,Alzheimer's disease (late onset),"2,451 Caribbean Hispanic cases, 2,063 Caribbean Hispanic controls","550 Caribbean Hispanic cases, 236 Caribbean Hispanic controls",19q13.32,19,44901322,rs394819-T,rs394819,394819,8.00E-11
TOMM40,22005931,Genome-wide association analysis of age-at-onset in Alzheimer's disease.,Alzheimer's disease (age of onset),"1,190 European ancestry cases, 1,032 cases",NA,19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,1.00E-12
TOMM40,23419831,APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.,Alzheimer's disease biomarkers,555 European ancestry individuals,NA,19q13.32,19,44893408,rs59007384-T,rs59007384,59007384,7.00E-09
TOMM40,24755620,Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.,Alzheimer's disease,"2,540 European ancestry cases, 2,029 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-G,rs2075650,2075650,9.00E-116
TOMM40,29107063,Hidden heterogeneity in Alzheimer's disease: Insights from genetic association studies and other analyses.,Alzheimer's disease (age of onset),"12,169 European ancestry individuals, 2,078 Black individuals, 4,053 unknown ancestry individuals",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,5.00E-07
TOMM40,29107063,Hidden heterogeneity in Alzheimer's disease: Insights from genetic association studies and other analyses.,Alzheimer's disease,"at least 3,569 European, Black, and unknown ancestry cases, at least 19,085 European, Black, and unknown ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-07
TOMM40,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
TOMM40,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
TOMM40,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44892009,rs157580-?,rs157580,157580,1.00E-06
TOMM40,21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort.",Alzheimer's disease biomarkers,"96 European ancestry Alzheimer disease cases, 176 European ancestry individuals with mild cognitive impairment, 102 European ancestry controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,1.00E-06
TOMM40,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",19q13.32,19,44919689,rs4420638-?,rs4420638,4420638,8.00E-149
TOMM40,24770881,ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.,Alzheimer's disease,1443 cases and 99 controls,NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,4.00E-13
TOMM40,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
TOMM40,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-16
TOMM40,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-18
TOMM40,26993346,Genetic risk factors for the posterior cortical atrophy variant of Alzheimer's disease.,Posterior cortical atrophy and Alzheimer's disease,"293 cases, 10,547 healthy controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,6.00E-14
TOMM40,19734902,Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.,Alzheimer's disease,"3,941 European ancestry cases, 7,848 European ancestry controls","2,023 European ancestry cases, 2,340 European ancestry controls",19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-157
CCBP2,25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,Cerebrospinal fluid levels of Alzheimer's disease-related proteins,574 individuals,NA,3p22.1,3,42864624,rs2228467-G,rs2228467,2228467,4.00E-18
